OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
2882,101110,44000,Los Angeles,Tujunga,10111044000Tujunga,12296168.28,15082.85384
2883,101122,44000,Los Angeles,Tujunga,10112244000Tujunga,28458043.24,31669.98998
2884,101220,44000,Los Angeles,Tujunga,10122044000Tujunga,7522646.925,12693.42824
2885,101221,44000,Los Angeles,Tujunga,10122144000Tujunga,3811984.175,9161.613517
2886,101222,44000,Los Angeles,Tujunga,10122244000Tujunga,3191370.859,9980.600461
2887,101300,44000,Los Angeles,Tujunga,10130044000Tujunga,27780819.36,29314.99579
2888,101400,44000,Los Angeles,Tujunga,10140044000Tujunga,67913242.84,42666.05311
2889,102103,44000,Los Angeles,Sun Valley,10210344000Sun Valley,12770250.48,16348.9601
2890,102104,44000,Los Angeles,Sun Valley,10210444000Sun Valley,17858560.74,27561.43582
2891,102105,44000,Los Angeles,Sun Valley,10210544000Sun Valley,5308646.214,9965.247958
2892,102107,44000,Los Angeles,Sun Valley,10210744000Sun Valley,49589412.26,54445.87966
2893,102107,44000,Los Angeles,Sunland,10210744000Sunland,89494066.65,44313.81934
2894,103101,44000,Los Angeles,Sunland,10310144000Sunland,21846501.09,25420.7374
2895,103102,44000,Los Angeles,Sunland,10310244000Sunland,10489991.63,13464.13074
2896,103102,44000,Los Angeles,Tujunga,10310244000Tujunga,2866633.923,8781.636197
2897,103201,44000,Los Angeles,Sunland,10320144000Sunland,21038755.61,18227.63202
2898,103202,44000,Los Angeles,Lakeview Terrace,10320244000Lakeview Terrace,36605921.21,42247.88329
2899,103202,44000,Los Angeles,Sunland,10320244000Sunland,14419774.33,40393.91787
2900,103300,44000,Los Angeles,Shadow Hills,10330044000Shadow Hills,66106029.71,37290.48481
2901,103401,44000,Los Angeles,Sunland,10340144000Sunland,15085843.24,20471.344
2902,103402,44000,Los Angeles,Sunland,10340244000Sunland,11829700.22,14650.1132
2903,104103,44000,Los Angeles,Lakeview Terrace,10410344000Lakeview Terrace,10236590.7,13286.96958
2904,104105,44000,Los Angeles,Pacoima,10410544000Pacoima,6292850.705,11640.00459
2905,104108,44000,Los Angeles,Lakeview Terrace,10410844000Lakeview Terrace,4552513.305,10729.76197
2906,104108,44000,Los Angeles,Pacoima,10410844000Pacoima,7250454.109,12870.61321
2907,104124,44000,Los Angeles,Lakeview Terrace,10412444000Lakeview Terrace,16596024.25,20402.23677
2908,104124,99037,Unincorporated,Kagel/Lopez Canyons,10412499037Kagel/Lopez Canyons,31603847.62,34106.28458
2909,104201,44000,Los Angeles,Pacoima,10420144000Pacoima,11733740.91,14814.92369
2910,104203,44000,Los Angeles,Pacoima,10420344000Pacoima,7620036.27,11052.5285
2911,104204,44000,Los Angeles,Lakeview Terrace,10420444000Lakeview Terrace,23847193.38,28076.58713
2912,104204,44000,Los Angeles,Pacoima,10420444000Pacoima,3806999.59,8410.016685
