City,County,2018,2019,2020,2021,2022,Average
Statewide,Statewide,"195,449","190,649","147,148","162,036","160,819","171,220.2"
"LOS ANGELES","LOS ANGELES","30,070","29,368","21,845","12,807","11,257","21,069.4"
"SAN DIEGO","SAN DIEGO","6,486","6,291","4,446","5,624","5,522","5,673.8"
SACRAMENTO,SACRAMENTO,"3,279","3,649","2,933","3,888","3,514","3,452.6"
"SAN FRANCISCO","SAN FRANCISCO","3,874","3,960","2,766","3,239","3,285","3,424.8"
"SAN JOSE","SANTA CLARA","4,119","4,004","2,619","2,997","3,286","3,405.0"
"LONG BEACH","LOS ANGELES","2,726","2,856","2,526","2,941","2,972","2,804.2"
OAKLAND,ALAMEDA,"2,628","2,479","2,161","2,020","2,164","2,290.4"
ANAHEIM,ORANGE,"2,063","2,345","1,737","2,006","2,030","2,036.2"
RIVERSIDE,RIVERSIDE,"2,116","1,951","1,597","1,822","1,832","1,863.6"
STOCKTON,"SAN JOAQUIN","1,664","1,684","1,313","1,320","1,481","1,492.4"
BAKERSFIELD,KERN,"1,510","1,611","1,470","1,412","1,310","1,462.6"
MODESTO,STANISLAUS,"1,453","1,467","1,218","1,423","1,450","1,402.2"
"SAN BERNARDINO","SAN BERNARDINO","1,361","1,554","1,348","1,371","1,302","1,387.2"
FRESNO,FRESNO,595,759,"1,204","1,498","1,707","1,152.6"
ONTARIO,"SAN BERNARDINO","1,533","1,361",549,"1,202","1,112","1,151.4"
OXNARD,VENTURA,"1,087","1,037",852,"1,017",986,995.8
LANCASTER,"LOS ANGELES",958,"1,004",822,"1,054","1,059",979.4
POMONA,"LOS ANGELES","1,058","1,066",834,946,958,972.4
"SANTA ANA",ORANGE,"1,022",403,259,"1,478","1,562",944.8
FREMONT,ALAMEDA,"1,060","1,009",645,782,808,860.8
"CHULA VISTA","SAN DIEGO",865,845,684,799,801,798.8
PASADENA,"LOS ANGELES",915,928,606,747,787,796.6
FONTANA,"SAN BERNARDINO",834,814,660,740,837,777.0
IRVINE,ORANGE,"1,045",885,539,637,722,765.6
ESCONDIDO,"SAN DIEGO",883,839,646,695,744,761.4
CORONA,RIVERSIDE,855,733,644,806,733,754.2
"HUNTINGTON BEACH",ORANGE,955,770,630,691,693,747.8
DOWNEY,"LOS ANGELES",794,899,610,676,715,738.8
ORANGE,ORANGE,859,749,614,661,774,731.4
FULLERTON,ORANGE,792,740,454,689,716,678.2
OCEANSIDE,"SAN DIEGO",724,625,571,706,734,672.0
PALMDALE,"LOS ANGELES",718,640,592,762,645,671.4
"EL CAJON","SAN DIEGO",732,755,590,635,601,662.6
"COSTA MESA",ORANGE,813,661,521,637,673,661.0
ROSEVILLE,PLACER,784,692,454,684,670,656.8
"SANTA CLARITA","LOS ANGELES",695,724,532,646,683,656.0
"GARDEN GROVE",ORANGE,698,739,480,624,664,641.0
FAIRFIELD,SOLANO,628,633,531,633,746,634.2
GLENDALE,"LOS ANGELES",757,728,438,591,607,624.2
"MORENO VALLEY",RIVERSIDE,506,528,489,813,777,622.6
VENTURA,VENTURA,661,648,501,631,631,614.4
HAYWARD,ALAMEDA,656,653,519,580,551,591.8
"SANTA ROSA",SONOMA,811,825,491,331,415,574.6
"JURUPA VALLEY",RIVERSIDE,550,587,477,501,597,542.4
TORRANCE,"LOS ANGELES",628,620,434,501,521,540.8
CONCORD,"CONTRA COSTA",612,647,429,464,542,538.8
BERKELEY,ALAMEDA,668,608,351,412,621,532.0
REDLANDS,"SAN BERNARDINO",572,609,462,477,503,524.6
"THOUSAND OAKS",VENTURA,646,615,396,482,465,520.8
VICTORVILLE,"SAN BERNARDINO",469,536,493,533,536,513.4
TEMECULA,RIVERSIDE,587,547,387,509,465,499.0
VALLEJO,SOLANO,555,519,415,509,483,496.2
WESTMINSTER,ORANGE,553,541,387,503,479,492.6
"RANCHO CUCAMONGA","SAN BERNARDINO",430,498,434,516,551,485.8
RICHMOND,"CONTRA COSTA",643,588,367,431,387,483.2
"ELK GROVE",SACRAMENTO,576,554,397,461,421,481.8
SALINAS,MONTEREY,606,541,365,481,413,481.2
HESPERIA,"SAN BERNARDINO",435,459,393,498,604,477.8
INGLEWOOD,"LOS ANGELES",563,460,422,495,434,474.8
"EL MONTE","LOS ANGELES",498,539,383,469,461,470.0
NORWALK,"LOS ANGELES",650,532,344,375,438,467.8
"WEST COVINA","LOS ANGELES",573,505,359,428,457,464.4
MERCED,MERCED,436,460,413,504,445,451.6
RIALTO,"SAN BERNARDINO",422,456,409,509,452,449.6
"SANTA BARBARA","SANTA BARBARA",504,466,337,425,460,438.4
CHINO,"SAN BERNARDINO",513,487,339,401,415,431.0
SUNNYVALE,"SANTA CLARA",588,596,253,321,392,430.0
CARLSBAD,"SAN DIEGO",458,428,325,417,444,414.4
"SANTA MONICA","LOS ANGELES",572,509,56,453,474,412.8
"SOUTH GATE","LOS ANGELES",411,494,356,408,393,412.4
COMPTON,"LOS ANGELES",377,380,338,426,535,411.2
VISALIA,TULARE,452,463,361,387,383,409.2
"BEVERLY HILLS","LOS ANGELES",497,470,321,383,367,407.6
HEMET,RIVERSIDE,475,454,369,386,338,404.4
UPLAND,"SAN BERNARDINO",407,326,304,482,503,404.4
"SANTA MARIA","SANTA BARBARA",436,367,352,422,428,401.0
COLTON,"SAN BERNARDINO",399,464,323,397,420,400.6
TUSTIN,ORANGE,499,465,268,360,353,389.0
CARSON,"LOS ANGELES",442,402,320,375,393,386.4
"BALDWIN PARK","LOS ANGELES",458,410,315,365,365,382.6
"NEWPORT BEACH",ORANGE,430,407,347,389,338,382.2
BELLFLOWER,"LOS ANGELES",376,389,278,417,418,375.6
ALHAMBRA,"LOS ANGELES",493,420,290,322,349,374.8
"BUENA PARK",ORANGE,480,390,272,356,346,368.8
"DIAMOND BAR","LOS ANGELES",415,434,255,384,354,368.4
"SANTA FE SPRINGS","LOS ANGELES",417,390,272,401,362,368.4
"FOUNTAIN VALLEY",ORANGE,413,411,284,355,332,359.0
LIVERMORE,ALAMEDA,449,389,280,324,351,358.6
WHITTIER,"LOS ANGELES",450,409,294,324,290,353.4
"NATIONAL CITY","SAN DIEGO",387,399,337,351,284,351.6
HAWTHORNE,"LOS ANGELES",473,394,276,283,316,348.4
TURLOCK,STANISLAUS,335,396,317,359,314,344.2
"SIMI VALLEY",VENTURA,377,376,314,308,329,340.8
REDDING,SHASTA,345,383,370,376,227,340.2
CERRITOS,"LOS ANGELES",389,372,256,336,343,339.2
